OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
1714,Switching system,,http://source.techno-science.ca/artifacts-artefacts/images/1968.0421.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0421.001.aa.cs.thumb.png,2132,4901,Manufacturer,40.733668700000003,-82.789902599999991,76,R,The United States
1715,Vacuum tube,GLASS/ METAL/ SYNTHETIC/ CERAMIC/ CARDSTOCK,http://source.techno-science.ca/artifacts-artefacts/images/1968.0422.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0422.001.aa.cs.thumb.png,2133,4904,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1716,"Lamp, ballast","GLASS, METAL, SYNTHETIC/ PAPER",http://source.techno-science.ca/artifacts-artefacts/images/1968.0423.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0423.001.aa.cs.thumb.png,2134,4905,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1717,Vacuum tube,GLASS/ METAL/ SYNTHETIC/ CERAMIC/ PAPER,http://source.techno-science.ca/artifacts-artefacts/images/1968.0424.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0424.001.aa.cs.thumb.png,2135,4909,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1718,"Lamp, ballast","GLASS, METAL, SYNTHETIC/ CARDBOARD BOX",http://source.techno-science.ca/artifacts-artefacts/images/1968.0425.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0425.001.aa.cs.thumb.png,2136,4910,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1719,Power plant,STEEL RELAY RACK/ METAL & SYNTHETIC WORKING PARTS/ METAL METERS WITH GLASS DIAL COVERS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0428.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0428.001.aa.cs.thumb.png,2137,4915,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
1720,"Receiver, radio","STEEL CABINET, CHASSIS & PANELS/ METAL, GLASS & SYNTHETIC WORKING PARTS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0431.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0431.001.aa.cs.thumb.png,2139,4951,Manufacturer,39.925946300000000,-75.119619900000004,76,R,The United States
1721,Fire engine,VARIOUS METALS/ RUBBER TIRES/ LEATHER SEATS (HORSEHAIR STUFFING ?)/ WOOD DECKING/GLASS LENSES,http://source.techno-science.ca/artifacts-artefacts/images/1968.0439.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0439.001.aa.cs.thumb.png,2140,4960,Manufacturer,43.653225999999997,-79.383184299999996,76,R,Canada
1722,"Test set, vacuum tube","WOODEN CASE & LID WITH METAL HARDWARE/ LEATHER HANDLE/ BAKELITE TOP PANEL/ SYNTHETIC & METAL KNOBS, BUTTONS & HOLDERS/ GLASS BULBS & METER COVER",http://source.techno-science.ca/artifacts-artefacts/images/1968.0440.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0440.001.aa.cs.thumb.png,2141,4961,Manufacturer,33.516231500000004,-90.179528099999999,76,R,The United States
1723,Clock,WOOD CONSTRUCTION WITH BRASS PENDULUM AND GLASS FACE COVER AND DOOR INSERT/ METAL CLOCK FACE AND HANDS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0443.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0443.001.aa.cs.thumb.png,2142,4965,Manufacturer,41.558152499999998,-73.051496499999999,76,R,The United States
1724,Canoe,CEDAR STRIP AND RIBS CANVAS COVERED USING BRASS NAILS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0445.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0445.001.aa.cs.thumb.png,2143,4966,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
1725,Mower,,http://source.techno-science.ca/artifacts-artefacts/images/1968.0449.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0449.001.aa.cs.thumb.png,2144,4970,Manufacturer,43.250020800000009,-79.866091400000002,76,R,Canada
1726,Wagon undercarriage,"WOOD WHEELS & PARTS/ METAL TIRES, AXLES, PARTS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0456.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0456.001.aa.cs.thumb.png,2145,4975,Manufacturer,42.404801800000001,-82.191037600000001,76,R,Canada
1727,Cart,WOOD/ METAL PARTS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0461.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0461.001.aa.cs.thumb.png,2146,4980,Manufacturer,43.131496599999998,-80.747165099999989,76,R,Canada
